S.No,Software Name,Software link,One line discription,Software paid or not (Y/N),Reference (journel or publication name),Name of Person,Additional Remarks
382,HMMER - Client,http://hmmer.janelia.org/,"HMMER is used for searching sequence databases for homologs of protein sequences, and for making protein sequence alignments. It implements methods using probabilistic models called profile hidden Markov models (profile HMMs).",free download,"Finn R.D., Clements J., Eddy S.R. HMMER web server: interactive sequence similarity searching. Nucleic Acids Res. 2011;39:W29-W37.",Prashant,
383,MyHits - Motif Scan,http://myhits.isb-sib.ch/cgi-bin/motif_scan,"Motif scanning means finding all known motifs that occur in a sequence. This form lets people paste a protein sequence, select the collections of motifs to scan for, and launch the search.",free,,Prashant,
384,HPRD - Protien Database,http://www.hprd.org/,Database of Human protien sequences.,"Free, for non-commercial usage.",,Prashant,Commercial usage require licensing.
385,Infernal,http://infernal.janelia.org/,"Infernal (""INFERence of RNA ALignment"") is for searching DNA sequence databases for RNA structure and sequence similarities. It is an implementation of a special case of profile stochastic context-free grammars called covariance models (CMs)",free,,kapil,
386,SSU-ALIGN,http://selab.janelia.org/software/ssu-align/,"SSU-ALIGN is a software package for identifying, aligning, masking and visualizing archaeal 16S, bacterial 16S and eukaryotic 18S small subunit ribosomal RNA (SSU rRNA) sequences",free,,kapil,
387,TORNADO,http://selab.janelia.org/software.html,A software tool for prototyping single-sequence RNA secondary structure prediction models.,free,,kapil,
388,ERATE,http://selab.janelia.org/software.html,"erate is an extension of Joe Felsenstein's DNAML program which treats insertions and deletions as evolutionary events, rather than ignoring them as missing data (which is what the most widely used phylogenetic inference programs all do)",free,,kapil,
389,CONUS,http://selab.janelia.org/software/conus/,software for the exploration of lightweight stochastic context free grammars,free,,kapil,
390,Archaeopteryx,https://sites.google.com/site/cmzmasek/home/software/archaeopteryx,"software tool for the visualization, analysis, and editing of potentially large and highly annotated phylogenetic trees",free,,kapil,
391,RSEARCH,https://sites.google.com/site/cmzmasek/home/software/archaeopteryx,"RSEARCH aligns an RNA query to target sequences, using SCFG algorithms to score both secondary structure and primary sequence alignment simultaneously",free,,kapil,
392,RECON,https://sites.google.com/site/cmzmasek/home/software/archaeopteryx,Automated identification of repeat sequence families in genome sequences.,free,,kapil,
393,tRNAscan-SE,https://sites.google.com/site/cmzmasek/home/software/archaeopteryx,"tRNAscan-SE detects ~99% of eukaryotic nuclear or prokaryotic tRNA genes, with a false positive rate of less than one per 15 gigabases, and with a search speed of about 30 kb/second.",free,,kapil,
394,CONSAN,http://selab.janelia.org/software/consan/,Pairwise structural RNA alignment,free,,kapil,
395,forester,"https://code.google.com/p/forester/downloads/list?can=1&q=windows&colspec=Filename+Summary+Uploaded+ReleaseDate+Size
",applications and software libraries for evolutionary biology and comparative genomics research,free,,kapil,
396,QRNA,https://sites.google.com/site/cmzmasek/home/software/archaeopteryx,"A prototype noncoding RNA genefinder, based on comparative genome sequence analysis.",free,,kapil,
397,RNABOB,https://sites.google.com/site/cmzmasek/home/software/archaeopteryx,Fast Pattern searching for RNA secondary structures.,free,,kapil,
398,PKNOTS,https://sites.google.com/site/cmzmasek/home/software/archaeopteryx,Experimental code demonstrating a dynamic programming algorithm for RNA pseudoknot prediction.,free,,kapil,
399,SQUID,https://sites.google.com/site/cmzmasek/home/software/archaeopteryx,A C library that is bundled with much of the above software. C function library for sequence analysis.,free,,kapil,
400,NCRNASCAN,https://sites.google.com/site/cmzmasek/home/software/archaeopteryx,"Experimental code for a structural RNA genefinder: it doesn't actually work well, because it turns out that structural RNAs don't have much more secondary structure content than random sequence.",free,,kapil,
401,HMMERVIEWER,https://sites.google.com/site/cmzmasek/home/software/archaeopteryx,"prototype of a Perl/Tk application for viewing profile HMMs created by HMMER, including the Pfam database.",free,,kapil,
402,COVE,https://sites.google.com/site/cmzmasek/home/software/archaeopteryx,COVE is an implementation of stochastic context free grammar methods for RNA sequence/structure analysis. COVE is still experimental and not as well supported as I would like,free,,kapil,
403,DnaSP,http://www2.ub.es/dnasp/download.html,"software package for the analysis of nucleotide polymorphism from aligned DNA sequence data. DnaSP can estimate several measures of DNA sequence variation within and between populations (in noncoding, synonymous or nonsynonymous sites, or in various sorts of codon positions), as well as linkage disequilibrium, recombination, gene flow and gene conversion parameters",free,,kapil,
404,Readseq,http://www.ebi.ac.uk/Tools/sfc/readseq/,"Readseq reads and converts biosequences between a selection of common biological sequence formats, including EMBL, GenBank and fasta sequence formats.",free,,kapil,
405,HCV sequence database,http://hcv.lanl.gov/content/sequence/FORMAT_CONVERSION/form.html,"This program takes as input a sequence or sequences (e.g., an alignment) in an unspecified format and converts the sequence(s) to a different user-specified format.",free,,kapil,
406,Fasta header extractor (and header splitter),http://users-birc.au.dk/biopv/php/fabox/header_extractor.php,"Simple and fast way of extraction the headers from fasta files - and
optionally split each header into fields based on a chosen
character/word.
",free,,kapil,
407,Fasta sequence extractor,http://users-birc.au.dk/biopv/php/fabox/fasta_extractor.php,"Simple and fast way of extracting some sequences from a large sequence set, based on a list of headers or fuzzy matching.
",free,,kapil,
408,Random DNA sequence generator,http://users-birc.au.dk/biopv/php/fabox/random_sequence_generator.php,"Generates a specified number of random DNA sequences of given length and
 exact base composition (will also generate sequences of varying length)
",free,,kapil,
409,Stacks,http://creskolab.uoregon.edu/stacks/,"Stacks is a software pipeline for building loci from short-read sequences, such as those generated on the Illumina platform",free,,kapil,
410,BioEdit,http://www.mbio.ncsu.edu/bioedit/page2.html," BioEdit is a mouse-driven, easy-to-use sequence alignment editor and sequence analysis program designed and written by a graduate student who knows how frustrating and time consuming it can be to rely upon word-processors and command-line programs for sequence manipulation.",free,,kapil,
411,Structure 2.3.X,http://pritchardlab.stanford.edu/structure_software/release_versions/v2.3.4/html/structure.html,"The program structure is a free software package for using multi-locus genotype data to investigate population structure. Its uses include inferring the presence of distinct populations, assigning individuals to populations, studying hybrid zones, identifying migrants and admixed individuals, and estimating population allele frequencies in situations where many individuals are migrants or admixed.",free,,kapil,
412,TreeMix: estimation of population trees with admixture,https://code.google.com/p/treemix/downloads/list,"TreeMix uses large numbers of SNPs to estimate the historical relationships among populations, using a graph representation that allows both population splits and migration events",free,,kapil,
413,CENTIPEDE: software for inference of TF binding sites,http://centipede.uchicago.edu/,"CENTIPEDE is a method developed by Roger Pique-Regi and Jacob Degner that uses PWM information plus experimental data such as DNase1, histone marks or FAIRE to infer transcription factor binding sites with high specificity",free,,kapil,
414,Transcriptome Assembler,http://pritchardlab.stanford.edu/software.html,Software for transcriptome assembly used in RNA-seq of 16 mammalian species.,free,,kapil,
415,BFCounter: Memory efficient k-mer counting,https://github.com/pmelsted/BFCounter,"BFCounter is a program for counting k-mers from DNA sequencing data it uses a Bloom filter data structure to filter unique k-mers, likely generated from sequencing errors",free,,kapil,
416,Histone modification and Pol2 data,https://github.com/gmcvicker/CHT,"Download data from 4 histone modifications (H3K4me1, H3K4me3, H3K27ac, H3K27me3) and and RNA Pol2 from 10 YRI lymphoblastoid cell lines",free,,kapil,
417,TreeLD 1.0,http://pritchardlab.stanford.edu/treeld.html,"TreeLD is a software tool for mapping complex trait loci,",free,,kapil,
418,STRAT,http://pritchardlab.stanford.edu/software/STRAT.html,"STRAT is a companion program to structure. This is a structured association method, for use in association mapping, enabling valid case-control studies even in the presence of population structure",free,,kapil,
419,MALDSoft,http://pritchardlab.stanford.edu/software/maldsoft_download.html,"MALDSoft is a program for admixture mapping of complex trait loci, using case-control data.",free,,kapil,
420,Mutation Surveyor,http://www.softgenetics.com/downloads.html,"powerful and accurate DNA Sequencing analysis tool for Sanger Sequencing files generated by Applied Biosystems Genetic Analyzers, MegaBACE, and Beckman CEQ electrophoresis systems.",paid,,kapil,
421,NextGENe,http://www.softgenetics.com/downloads.html,employs unique platform specific technologies in one free-standing multi -application package.,paid,,kapil,
422,Geneticist Assistant NGS Interpretative Workbench,http://www.softgenetics.com/downloads.html,"unique tool for the management, control, visualization,  functional
interpretation and historical knowledge base of next generation
sequencing Whole Exome data or targeted at specific genes for the
purpose of  identifying potentially pathogenic variants associated with
specific conditions  such as hereditary colon cancer and others.",paid,,kapil,
423,GeneMarker® The Biologist Friendly Software,http://www.softgenetics.com/downloads.html,"unique genotype analysis software which integrates new technologies enhancing the speed, accuracy and ease of analysis.",paid,,kapil,
424,GeneMarker MTP,http://www.softgenetics.com/downloads.html,provides the analysis power of six GeneMarker programs; reducing costs while increasing efficiency of DNA fragment analysis,paid,,kapil,
425,GeneMarker Human Identity Software,http://www.softgenetics.com/downloads.html,"forensic profiling applications. This expert system software can be employed as a ""biologist-friendly"" replacement for GeneScan®/GenoTyper® or as an alternative to GeneMapper® ID and GeneMapper® IDX human identification software, reducing analyst required edits by 18 - 73 % per sample",paid,,kapil,
426,ChimerMarker,http://www.softgenetics.com/downloads.html,"automated chimerism analysis software, integrates speed and accuracy with a biologist-friendly interface.",paid,,kapil,
427,JelMarker,http://www.softgenetics.com/downloads.html,"was developed in response to a growing demand for software that can analyze fluorescence, chemiluminescence and autoradiography gel image files - especially those from LI-COR's 4300 DNA Analyzer and KODAK's Image Station 4000R.",paid,,kapil,
